Ph,Turbidity,Temperature,Conductivity,Label
7.01,706.1010307,20.52963185,342.5439173,1
7.25,721.2323541,25.35591511,325.1207897,1
6.88,596.1786402,29.599519,365.2387515,1
7.89,674.1219891,11.83867468,259.5243324,1
8.21,505.2667347,14.16787674,298.1849468,1
6.89,575.4442108,16.06087095,320.0415956,1
8.19,793.9451758,27.76088957,297.3391856,1
7.26,688.3420687,11.428454,281.4113903,1
7.19,776.1922581,16.15677657,251.8955621,1
8.13,715.6504771,28.72390725,379.6744414,1
8.09,553.8000533,15.32301432,280.4371812,1
6.76,448.2109992,18.87482059,263.7330149,1
8.35,440.3277036,16.03073128,264.6140564,1
6.87,754.9741807,18.05615743,324.6637635,1
7.56,449.1177792,23.70382319,348.9916926,1
8.19,555.8465575,25.90854005,353.229637,1
8.45,677.2358315,18.05268093,342.2766666,1
7.36,762.7017371,11.61154548,348.0243996,1
6.81,624.0017863,22.30285395,367.0219997,1
7.23,503.0328294,13.76452517,336.4035488,1
8.09,660.2133901,23.31867071,255.6681334,1
8.19,630.5880803,27.85248698,382.3078868,1
6.86,496.1273045,18.03511565,358.9071599,1
7.14,727.3132776,22.57420764,267.4550754,1
7.39,454.869485,27.96182106,290.8780184,1
7.06,562.5435209,14.77143542,280.2647801,1
7.96,716.1709351,17.37600272,304.8146844,1
8.02,653.1954058,25.38768395,386.6017851,1
6.82,662.9052313,14.66307949,316.9002113,1
8.06,514.3732146,14.1186246,362.9067899,1
6.68,518.3563353,23.58461442,254.2599038,1
8.05,695.1944744,10.20871774,281.306095,1
7.41,400.7923561,20.26638968,354.9172755,1
8.47,465.2475339,27.67382894,330.7468063,1
7.4,669.8701242,17.41257582,304.9329683,1
7.17,545.9583202,11.29764014,281.2634174,1
8.2,591.9820753,13.67475408,317.6407563,1
7.98,401.9811824,21.64736636,344.6795158,1
8.05,535.8819409,15.5303965,254.9756269,1
6.9,569.4560079,20.18163744,372.0514579,1
8.48,738.8419499,13.00455959,392.652304,1
8.5,434.7220669,15.15771915,371.6503816,1
8.06,457.2443792,12.19484575,367.8149013,1
8.37,422.999621,18.00465167,325.6076902,1
8.06,650.6566843,20.68207804,261.3810701,1
6.84,464.9895849,10.93780504,368.381654,1
7.61,659.9418448,23.22280256,292.1337977,1
7.41,517.7440312,28.61273408,267.9472487,1
7.74,481.357253,11.23745651,370.3605174,1
8.03,629.5330083,14.71964595,276.9486902,1
8.07,670.8298596,11.21524549,283.7940839,1
7.98,540.4233586,27.22795667,371.2207329,1
7.39,747.6449871,26.19070505,358.1268044,1
7.45,797.6882589,19.76385579,255.6271512,1
8.24,600.9106541,16.27139142,329.4029983,1
8.42,442.2972192,18.56199587,341.2613025,1
7.07,598.1316198,25.25350888,279.9699935,1
6.93,688.1691337,26.24368561,251.4732433,1
6.93,555.7461605,12.20138254,350.3127974,1
7.96,666.6213158,10.16014895,296.3573272,1
7.74,742.5722695,18.09648304,322.3425936,1
8.18,766.5373557,28.95301605,309.6730015,1
6.57,776.2703104,26.44810818,327.4520347,1
7.11,789.5553284,19.33007082,296.1068967,1
6.91,689.7110098,16.10619939,378.5267963,1
6.91,680.3224903,11.50638671,388.6706785,1
8.41,734.1568536,17.44888932,353.2292205,1
7.62,706.5996934,16.59336821,308.2616446,1
6.71,486.0295982,16.35164112,381.924818,1
8.38,608.6537628,13.20427047,328.9466681,1
7.32,729.0768071,10.69985894,278.5183579,1
8.27,558.679159,23.70750644,292.6855579,1
6.86,420.7041776,20.96264464,338.85332,1
8.38,646.4895224,21.31539992,333.3007573,1
7.36,524.0769157,21.96338209,337.3190853,1
8.2,460.0531559,17.55525082,271.0011379,1
8.24,696.0623395,18.83542141,304.8746,1
7.87,498.9437322,28.28931799,305.3584041,1
8,766.0099349,12.37958428,315.4304981,1
7.88,511.8113436,19.45422483,380.8854596,1
7.16,473.0704646,15.95383434,374.4765675,1
7.75,455.673354,10.72563949,349.1764935,1
7.87,471.3007902,11.08687394,380.4642259,1
7.91,408.2548449,26.80610119,313.0495647,1
6.52,624.8284978,20.74115262,314.8716807,1
8.09,536.220693,17.48394923,365.5786568,1
7,696.6655227,23.82234105,393.4689975,1
6.63,634.8657565,17.15850927,255.9691017,1
7.96,668.2062178,22.23623968,316.3702238,1
7.98,530.7547491,29.83223865,337.070747,1
7.76,463.895946,21.70155272,343.434749,1
7.2,446.2219613,18.1823569,276.0015511,1
7.21,669.1347295,16.85551291,395.5411656,1
7.48,640.319467,12.70039281,250.9754217,1
7.84,662.8419868,27.89675538,307.7692634,1
7.09,764.2873092,28.09131557,362.72438,1
7.52,448.570785,13.62658443,346.3835821,1
7.28,564.7779378,26.96088485,377.0286079,1
6.73,415.7611719,21.98076813,281.4344394,1
7.19,702.3346686,24.47630906,349.6119003,1
7.31,790.8549817,27.88207642,395.9308099,1
6.51,495.3081947,17.79202033,291.9804845,1
7.02,686.6249472,13.65362686,283.4508119,1
7.43,545.3326807,23.38242068,266.5963022,1
8.09,773.992741,18.9676193,339.8663999,1
7.04,439.6901462,17.66166512,295.3889847,1
7.07,644.1785191,12.64161048,377.5159098,1
7.27,694.779947,19.02807359,331.6907878,1
6.93,596.8590821,28.26713488,381.8240748,1
8.41,666.6478429,23.71977637,326.3900412,1
6.67,713.6538062,20.08663216,263.3142516,1
8.15,792.1362786,24.66222712,296.7003585,1
6.77,700.763649,22.34350645,364.6122371,1
7.72,419.0571094,24.84143979,391.7330192,1
8.11,696.7133672,11.8816724,296.7513337,1
7.92,423.3466376,13.73281909,297.8812755,1
8.38,756.0002014,12.05839868,292.2122729,1
7.08,769.1306516,23.40585653,353.4507257,1
6.91,453.2191449,28.68859869,319.2451749,1
7.42,553.533083,19.18108118,262.3721748,1
8,632.6738067,25.42818687,339.5678582,1
7.18,447.7580716,10.46088682,386.3704612,1
7.66,597.9543426,18.52030108,329.3392097,1
7.15,720.8867193,21.85967165,331.6780075,1
8.23,733.9953203,29.6211689,256.2772951,1
7.61,547.6999505,11.55396286,366.7187299,1
8.4,659.438087,10.54291074,343.8038635,1
6.85,739.7653951,10.60648063,263.5235323,1
7.16,625.9631024,29.7969674,377.438796,1
6.61,730.2173503,23.62300914,341.7527127,1
6.66,470.7114415,29.76822108,288.627308,1
7.84,485.9258349,12.62312082,259.4700158,1
7.68,488.1036172,11.01267542,368.0363424,1
6.52,790.3539694,22.6668374,263.4365715,1
8.22,707.8371989,23.0644955,308.5531152,1
8.12,515.6668165,22.88616333,257.6908952,1
8.3,633.651313,25.84060327,353.4034804,1
8.07,594.1611254,23.1744136,379.7225641,1
8.35,602.2966366,14.45105609,276.7577868,1
7.66,613.711346,16.21944189,304.0072226,1
7.03,647.9233801,20.8350552,256.4681558,1
8.25,664.8850282,14.62590784,386.597097,1
8.17,434.5467615,29.27254525,293.6748494,1
8.32,543.5669437,14.95636511,399.3283264,1
6.5,649.6209714,19.47278733,342.9919536,1
7.34,768.7186888,17.25799404,264.6001288,1
7.44,608.9665322,22.75314097,292.6212074,1
6.8,402.2039955,28.57783887,253.1041529,1
7.7,657.1777376,11.92555829,313.8512671,1
8.25,519.2048233,21.94767607,260.5681764,1
7.64,749.163065,28.20571428,352.0365943,1
8.2,410.1489478,28.69679846,340.6216973,1
7.45,574.7535656,11.98705826,261.4917096,1
8.23,418.7024383,25.73836023,319.0224027,1
6.72,613.983713,18.24128149,376.3115843,1
7.2,774.4646626,22.15155762,389.5782679,1
7.94,704.9002607,15.6733187,274.6383607,1
6.56,615.186528,26.9384347,310.3873079,1
6.65,544.833005,24.73069583,289.3839286,1
7.73,648.644692,18.49778242,253.7958981,1
6.68,754.405425,11.15409496,311.1113455,1
8.05,784.0598615,28.23097413,367.1428898,1
6.53,689.6341975,21.63168654,375.7962586,1
7.36,785.5750505,16.54353575,260.4457542,1
8.44,510.7683927,17.31509282,250.0595246,1
7,401.3488719,26.88372453,298.4447051,1
7.92,676.4163363,12.28012729,377.7766664,1
8.48,563.6184908,17.38960741,340.4757506,1
8.47,717.831734,26.64659753,283.6836602,1
8.34,610.901492,15.57578759,344.4841897,1
6.89,718.0041931,18.3975873,303.2118269,1
7.94,470.9881566,13.94021167,377.4135959,1
6.88,536.1856646,12.1807261,371.0176462,1
7.29,563.9341258,29.86364399,254.9048168,1
8,596.0701307,23.01664868,327.4980265,1
8.06,413.7234398,28.84889302,318.2179495,1
7.07,432.6221237,21.28793121,359.7890899,1
6.99,461.0528099,13.94010717,374.4760325,1
